PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
1059070001,10590700,452.9616,69,1,,,1059070002,,,,,,,2,1,2,,1964,300,3,1,2,2,,2,,1,,,7,3,73,,0,0,0,0,0,12,0,0,0,0,0,,,,19,37,,1,2,0,0,0,0,0,0,0,0,0,0,0,12884.88,0,0,0,0,0,1,6,1
1059070002,10590700,452.9616,68,2,,,1059070001,,,,,,,2,1,2,,1965,300,3,1,2,2,,2,,1,,,7,3,73,,0,0,0,0,0,12,0,0,0,0,0,,,,20,33,,1,2,0,0,0,0,0,0,0,0,0,0,0,13086.72,0,0,0,0,0,1,6,1
1059080001,10590800,835.60789,60,1,,,1059080002,,,,,,,2,1,2,,,400,2,2,3,2,,2,,,,,1,3,96,40,6,6,0,0,0,0,0,0,0,0,0,,38,,18,38,13,1,2,15002.22,12000.87,0,0,4847.98,0,0,0,0,939.3,749.73,0,0,129.08,112.05,0,0,1,6,1
1059080002,10590800,835.60789,57,2,,,1059080001,,,,,,,2,1,2,,1981,700,4,1,2,2,,2,,1,1,1,5,3,23,,0,0,0,0,12,0,0,0,0,0,0,,,,24,31,,1,2,0,0,0,0,0,0,0,0,0,5141.59,5141.59,0,0,0,0,0,0,1,6,1
1059080003,10590800,835.60789,24,1,1059080001,1059080002,,,,,,,,1,3,2,,2012,600,,2,3,2,,2,,,,,1,3,21,40,12,0,0,0,0,0,0,0,0,0,0,,14,,22,1,13,1,2,16026.96,12815.82,0,0,5053.66,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059100001,10591000,102.16463,54,1,,1059100002,,,,,,,,1,3,2,,1984,600,5,2,1,2,,2,,1,2,,8,3,23,,0,0,0,0,0,0,12,0,0,0,0,,,,22,27,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9924.6,0,1,6,1
1059100002,10591000,102.16463,82,2,,,,,,,,,,4,3,2,,1958,600,3,2,2,2,,2,,1,,,7,3,23,,0,0,0,0,0,12,0,0,0,0,0,,,,26,33,,1,2,0,0,0,0,0,0,0,0,0,0,0,9198.72,840,0,0,0,0,1,6,1
1059100003,10591000,102.16463,50,2,,1059100002,,,,,,,,1,3,2,,1986,600,,2,3,2,,2,,,,,1,3,26,40,12,0,0,0,0,0,0,0,0,0,0,,86,,24,26,12,1,2,24060.12,18690.72,0,0,7453.81,0,0,0,0,0,0,0,0,1984.77,1579.51,0,0,1,6,1
1059110001,10591100,1683.82812,40,1,,,1059110003,,,,,,,2,2,1,60,1992,300,2,2,3,2,,2,,,,,1,3,33,40,12,0,0,0,0,0,0,0,0,0,0,,31,,18,20,12,1,2,37367.53,28560.45,0,0,11576.46,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059110002,10591100,1683.82812,2,2,1059110001,1059110003,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1
