HB030,HB030_new
106451,10645100
106452,10645200
106454,10645400
106455,10645500
106456,10645600
106457,10645700
106458,10645800
106460,10646000
106461,10646100
106464,10646400
106466,10646600
106467,10646700
106468,10646800
106470,10647000
106471,10647100
106475,10647500
106477,10647700
106478,10647800
106479,10647900
106480,10648000
106481,10648100
106485,10648500
106488,10648800
106489,10648900
106490,10649000
106494,10649400
106495,10649500
106499,10649900
106500,10650000
106503,10650300
106505,10650500
106506,10650600
106509,10650900
106510,10651000
106511,10651100
106512,10651200
106514,10651400
106515,10651500
106517,10651700
106518,10651800
106521,10652100
106522,10652200
106524,10652400
106526,10652600
106530,10653000
106533,10653300
106535,10653500
106536,10653600
106539,10653900
106540,10654000
106541,10654100
106545,10654500
106546,10654600
106547,10654700
106549,10654900
106551,10655100
106555,10655500
106557,10655700
106558,10655800
106559,10655900
106564,10656400
106566,10656600
106567,10656700
106568,10656800
106570,10657000
106572,10657200
106573,10657300
106574,10657400
106580,10658000
106581,10658100
106582,10658200
106583,10658300
106586,10658600
106587,10658700
106588,10658800
106590,10659000
106591,10659100
106593,10659300
106597,10659700
106598,10659800
106599,10659900
106602,10660200
106605,10660500
106606,10660600
106608,10660800
106609,10660900
106611,10661100
106612,10661200
106616,10661600
106617,10661700
106618,10661800
106619,10661900
106620,10662000
106621,10662100
106622,10662200
106624,10662400
106626,10662600
106629,10662900
106633,10663300
106634,10663400
106636,10663600
106638,10663800
106640,10664000
106641,10664100
106644,10664400
106645,10664500
106646,10664600
106649,10664900
106651,10665100
106653,10665300
106655,10665500
106656,10665600
106662,10666200
106663,10666300
106664,10666400
106666,10666600
106668,10666800
106670,10667000
106671,10667100
106673,10667300
106674,10667400
106676,10667600
106678,10667800
106679,10667900
106680,10668000
106686,10668600
106690,10669000
106695,10669500
106697,10669700
106700,10670000
106702,10670200
106703,10670300
106704,10670400
106705,10670500
106708,10670800
106709,10670900
106712,10671200
106713,10671300
106714,10671400
106715,10671500
106716,10671600
106717,10671700
106718,10671800
106721,10672100
106722,10672200
106723,10672300
106724,10672400
106727,10672700
106728,10672800
106731,10673100
106732,10673200
106733,10673300
106736,10673600
106737,10673700
106738,10673800
106739,10673900
106740,10674000
106742,10674200
106743,10674300
106744,10674400
106746,10674600
106748,10674800
106749,10674900
106750,10675000
106751,10675100
106752,10675200
106753,10675300
106754,10675400
106756,10675600
106757,10675700
106759,10675900
106762,10676200
106763,10676300
106764,10676400
106765,10676500
106767,10676700
106768,10676800
106769,10676900
106770,10677000
106771,10677100
106772,10677200
106774,10677400
106775,10677500
106776,10677600
106777,10677700
106778,10677800
106779,10677900
106782,10678200
106785,10678500
106787,10678700
106788,10678800
106789,10678900
106790,10679000
106793,10679300
106794,10679400
106795,10679500
106796,10679600
106799,10679900
106800,10680000
106801,10680100
106803,10680300
106804,10680400
106807,10680700
106808,10680800
106809,10680900
106811,10681100
106816,10681600
106818,10681800
106819,10681900
106820,10682000
106822,10682200
106825,10682500
106826,10682600
106828,10682800
106829,10682900
106830,10683000
106832,10683200
106834,10683400
106835,10683500
106837,10683700
106840,10684000
106841,10684100
106844,10684400
106845,10684500
106846,10684600
106847,10684700
106849,10684900
106850,10685000
106853,10685300
106854,10685400
106856,10685600
106860,10686000
106861,10686100
106863,10686300
106864,10686400
106865,10686500
106866,10686600
106868,10686800
106869,10686900
106870,10687000
106875,10687500
106879,10687900
106880,10688000
106883,10688300
106884,10688400
106886,10688600
106889,10688900
106890,10689000
106891,10689100
106892,10689200
106893,10689300
106896,10689600
106897,10689700
106899,10689900
106901,10690100
106905,10690500
106906,10690600
106908,10690800
106913,10691300
106915,10691500
106916,10691600
106920,10692000
106924,10692400
106925,10692500
106926,10692600
106927,10692700
106932,10693200
106933,10693300
106934,10693400
106936,10693600
106937,10693700
106941,10694100
106942,10694200
106944,10694400
106948,10694800
106951,10695100
106952,10695200
106955,10695500
106958,10695800
106963,10696300
106964,10696400
106965,10696500
106967,10696700
106969,10696900
106970,10697000
106972,10697200
106975,10697500
106976,10697600
106977,10697700
106981,10698100
106982,10698200
106984,10698400
106985,10698500
106987,10698700
106994,10699400
106995,10699500
106996,10699600
106998,10699800
107000,10700000
107002,10700200
107004,10700400
107006,10700600
107010,10701000
107013,10701300
107014,10701400
107015,10701500
107016,10701600
107017,10701700
107018,10701800
107019,10701900
107020,10702000
107021,10702100
107023,10702300
107024,10702400
107025,10702500
107027,10702700
107028,10702800
107032,10703200
107033,10703300
107037,10703700
107040,10704000
107043,10704300
107045,10704500
107046,10704600
107048,10704800
107049,10704900
107052,10705200
107053,10705300
107054,10705400
107055,10705500
107058,10705800
107059,10705900
107060,10706000
107062,10706200
107065,10706500
107066,10706600
107068,10706800
107069,10706900
107072,10707200
107073,10707300
107075,10707500
107076,10707600
107077,10707700
107078,10707800
107079,10707900
107081,10708100
107082,10708200
107084,10708400
107086,10708600
107087,10708700
107090,10709000
107092,10709200
107093,10709300
107101,10710100
107105,10710500
107107,10710700
107109,10710900
107110,10711000
107112,10711200
107115,10711500
107116,10711600
107122,10712200
107124,10712400
107128,10712800
107130,10713000
107132,10713200
107135,10713500
107136,10713600
107137,10713700
107138,10713800
107140,10714000
107141,10714100
107143,10714300
107144,10714400
107147,10714700
107148,10714800
107149,10714900
107153,10715300
107156,10715600
107158,10715800
107160,10716000
107162,10716200
107164,10716400
107166,10716600
107169,10716900
107170,10717000
107171,10717100
107172,10717200
107173,10717300
107174,10717400
107175,10717500
107177,10717700
107180,10718000
107182,10718200
107183,10718300
107184,10718400
107189,10718900
107192,10719200
107194,10719400
107196,10719600
107197,10719700
107198,10719800
107202,10720200
107204,10720400
107206,10720600
107207,10720700
107208,10720800
107209,10720900
107211,10721100
107212,10721200
107215,10721500
107217,10721700
107218,10721800
107219,10721900
107221,10722100
107222,10722200
107223,10722300
107232,10723200
107233,10723300
107234,10723400
107237,10723700
107238,10723800
107239,10723900
107240,10724000
107241,10724100
107243,10724300
107244,10724400
107245,10724500
107246,10724600
107247,10724700
107249,10724900
107250,10725000
107251,10725100
107255,10725500
107256,10725600
107257,10725700
107258,10725800
107259,10725900
107260,10726000
107261,10726100
107262,10726200
107263,10726300
107264,10726400
107265,10726500
107266,10726600
107267,10726700
107268,10726800
107269,10726900
107270,10727000
107271,10727100
107272,10727200
107274,10727400
107275,10727500
107277,10727700
107278,10727800
107279,10727900
107281,10728100
107282,10728200
107283,10728300
107284,10728400
107285,10728500
107286,10728600
107287,10728700
107288,10728800
107289,10728900
107290,10729000
107293,10729300
107295,10729500
107298,10729800
107299,10729900
107300,10730000
107302,10730200
107303,10730300
107304,10730400
107307,10730700
107311,10731100
107312,10731200
107313,10731300
107314,10731400
107315,10731500
107316,10731600
107317,10731700
107319,10731900
107321,10732100
107322,10732200
107323,10732300
107325,10732500
107327,10732700
107329,10732900
107331,10733100
107338,10733800
107341,10734100
107342,10734200
107344,10734400
107348,10734800
107350,10735000
107351,10735100
107352,10735200
107353,10735300
107354,10735400
107357,10735700
107360,10736000
107361,10736100
107364,10736400
107365,10736500
107371,10737100
107375,10737500
107376,10737600
107379,10737900
107380,10738000
107383,10738300
107384,10738400
107385,10738500
107386,10738600
107387,10738700
107388,10738800
107390,10739000
107392,10739200
107393,10739300
107394,10739400
107396,10739600
107400,10740000
107401,10740100
107403,10740300
107405,10740500
107406,10740600
107407,10740700
