PB030_old,PB030
20000501,2000050001
20000502,2000050002
20000503,2000050003
20000601,2000060001
20000602,2000060002
20000701,2000070001
20000703,2000070003
20000801,2000080001
20000802,2000080002
20000901,2000090001
20000902,2000090002
20000903,2000090003
20001101,2000110001
20001102,2000110002
20001103,2000110003
20001401,2000140001
20001402,2000140002
20001501,2000150001
20001901,2000190001
20002001,2000200001
20002201,2000220001
20002301,2000230001
20002302,2000230002
20002401,2000240001
20002402,2000240002
20002601,2000260001
20002602,2000260002
20002701,2000270001
20002702,2000270002
20002703,2000270003
20002704,2000270004
20002801,2000280001
20002802,2000280002
20002803,2000280003
20002804,2000280004
20002805,2000280005
20002806,2000280006
20003001,2000300001
20003002,2000300002
20003003,2000300003
20003004,2000300004
20003101,2000310001
20003102,2000310002
20003103,2000310003
20003104,2000310004
20003105,2000310005
20003601,2000360001
20004101,2000410001
20004102,2000410002
20004103,2000410003
20004104,2000410004
20004301,2000430001
20004302,2000430002
20004601,2000460001
20004602,2000460002
20004801,2000480001
20004802,2000480002
20004901,2000490001
20005201,2000520001
20005202,2000520002
20005203,2000520003
20005204,2000520004
20005205,2000520005
20005301,2000530001
20005304,2000530004
20005401,2000540001
20005501,2000550001
20005502,2000550002
20005601,2000560001
20005602,2000560002
20005603,2000560003
20005604,2000560004
20005701,2000570001
20005702,2000570002
20005801,2000580001
20005802,2000580002
20005901,2000590001
20005903,2000590003
20006001,2000600001
20006002,2000600002
20006003,2000600003
20006004,2000600004
20006005,2000600005
20006101,2000610001
20006102,2000610002
20006103,2000610003
20006201,2000620001
20006301,2000630001
20006302,2000630002
20006701,2000670001
20007001,2000700001
20007002,2000700002
20007003,2000700003
20007304,2000730004
20007305,2000730005
20007306,2000730006
20008001,2000800001
20008201,2000820001
20008202,2000820002
20008501,2000850001
20008502,2000850002
20008503,2000850003
20008701,2000870001
20008801,2000880001
20008802,2000880002
20008803,2000880003
20008804,2000880004
20008805,2000880005
20008806,2000880006
20008807,2000880007
20008901,2000890001
20008902,2000890002
20008903,2000890003
20008905,2000890005
20009101,2000910001
20009301,2000930001
20009303,2000930003
20009305,2000930005
20009501,2000950001
20009601,2000960001
20009602,2000960002
20009902,2000990002
20009903,2000990003
20009904,2000990004
20009905,2000990005
20010101,2001010001
20010102,2001010002
20010103,2001010003
20010104,2001010004
20010301,2001030001
20010302,2001030002
20010305,2001030005
20010501,2001050001
20010502,2001050002
20010503,2001050003
20010601,2001060001
20010701,2001070001
20010702,2001070002
20010801,2001080001
20010802,2001080002
20010803,2001080003
20010901,2001090001
20010902,2001090002
20010904,2001090004
20010905,2001090005
20010906,2001090006
20011201,2001120001
20011202,2001120002
20011203,2001120003
20011204,2001120004
20011205,2001120005
20011301,2001130001
20011302,2001130002
20011303,2001130003
20011401,2001140001
20011402,2001140002
20011403,2001140003
20011404,2001140004
20011405,2001140005
20011406,2001140006
20011901,2001190001
20011902,2001190002
20011903,2001190003
20011904,2001190004
20012001,2001200001
20012002,2001200002
20012301,2001230001
20012302,2001230002
20012303,2001230003
20012401,2001240001
20012501,2001250001
20012502,2001250002
20012601,2001260001
20012701,2001270001
20012702,2001270002
20012801,2001280001
20012901,2001290001
20012902,2001290002
20013001,2001300001
20013101,2001310001
20013301,2001330001
20013302,2001330002
20013402,2001340002
20013501,2001350001
20013701,2001370001
20013702,2001370002
20013703,2001370003
20013704,2001370004
20013801,2001380001
20013802,2001380002
20013803,2001380003
